"study","form","user","week","count","date"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202028","330","2020-07-13 15:52:12.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202033","9","2020-08-18 15:19:26.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202036","657","2020-09-09 17:15:24.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202037","392","2020-09-14 08:06:34.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202038","18","2020-09-21 10:07:21.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202039","1","2020-10-01 09:49:56.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202040","110","2020-10-08 16:23:27.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202041","1364","2020-10-16 16:45:23.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202042","304","2020-10-19 13:41:18.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202043","4","2020-10-27 09:29:36.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202044","89","2020-11-03 09:56:55.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202045","116","2020-11-09 09:26:22.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202046","285","2020-11-16 09:07:53.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202047","946","2020-11-23 10:05:26.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202048","778","2020-12-01 14:07:41.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202049","58","2020-12-06 09:00:21.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYG01","202129","1","2021-07-22 08:41:33.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202028","11","2020-07-13 15:21:38.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202029","7","2020-07-21 13:22:27.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202030","124","2020-07-30 09:25:33.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202031","446","2020-08-03 10:26:19.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202032","140","2020-08-10 14:58:28.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202033","405","2020-08-18 15:36:01.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202034","235","2020-08-24 16:26:42.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202035","215","2020-09-03 16:30:34.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202036","123","2020-09-10 15:12:04.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK01","202037","111","2020-09-14 16:06:46.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202028","472","2020-07-15 15:36:47.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202029","824","2020-07-19 07:21:43.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202030","1592","2020-07-29 08:50:29.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202031","1175","2020-08-07 15:14:32.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202032","650","2020-08-09 08:02:46.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202033","350","2020-08-17 08:31:26.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202034","10","2020-08-24 09:36:07.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202036","461","2020-09-09 19:38:19.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202037","480","2020-09-14 08:22:06.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202038","94","2020-09-20 17:57:54.0"
"DRC","HOUSEHOLD VULNERABILITY SURVEY","KYK02","202039","130","2020-09-28 13:31:27.0"
